ensembl_gene_id	gene_sym	ncbi_gene_id	ncbi_gene_sym
ENSG00000277739	RNA5-8SN2	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8SN2	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8S5	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8S5	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8SN3	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8SN2	109864274	RNA5-8SN4
ENSG00000183474	GTF2H2C	728340	GTF2H2C
ENSG00000183474	GTF2H2C	730394	GTF2H2C_2
ENSG00000206140	TMEM191C	100996337	LOC100996337
ENSG00000206140	TMEM191C	645426	TMEM191C
ENSG00000206140	TMEM191C	100996401	LOC100996401
ENSG00000230522	MBD3L2	125997	MBD3L2
ENSG00000230522	MBD3L2	729458	MBD3L2B
ENSG00000241945	PWP2	5822	PWP2
ENSG00000241945	PWP2	102724159	LOC102724159
ENSG00000103485	QPRT	105369247	LOC105369247
ENSG00000103485	QPRT	23475	QPRT
ENSG00000231823	HLA-DQA2	3118	HLA-DQA2
ENSG00000231823	HLA-DQA2	3117	HLA-DQA1
ENSG00000273976	GOLGA6L1	283767	GOLGA6L1
ENSG00000273976	GOLGA6L1	102723623	LOC102723623
ENSG00000179889	PDXDC1	102724985	LOC102724985
ENSG00000179889	PDXDC1	23042	PDXDC1
ENSG00000237541	HLA-DQA2	3118	HLA-DQA2
ENSG00000237541	HLA-DQA2	3117	HLA-DQA1
ENSG00000103319	EEF2K	101930123	LOC101930123
ENSG00000103319	EEF2K	29904	EEF2K
ENSG00000232653	GOLGA8N	107984057	LOC107984057
ENSG00000232653	GOLGA8N	643699	GOLGA8N
ENSG00000249981	AC145141.1	107987434	LOC107987434
ENSG00000249981	AC145141.1	107987420	LOC107987420
ENSG00000276700	RNA5-8S5	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN4	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN3	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8SN4	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8SN1	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8SN2	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN5	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8SN4	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN1	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN5	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN1	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8S4	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN5	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8S4	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8S4	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8SN4	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8S4	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8SN1	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8SN3	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN5	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8S5	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN4	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8S4	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8SN3	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8SN3	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN2	100008587	RNA5-8SN5
ENSG00000276700	RNA5-8SN1	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8SN5	109864281	RNA5-8SN2
ENSG00000276700	RNA5-8S5	109864274	RNA5-8SN4
ENSG00000276700	RNA5-8SN2	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8SN2	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8S5	106632260	RNA5-8SN1
ENSG00000276700	RNA5-8S5	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8SN3	109910381	RNA5-8SN3
ENSG00000276700	RNA5-8SN2	109864274	RNA5-8SN4
ENSG00000268994	FAM236B	100129407	FAM236A
ENSG00000268994	FAM236B	100132304	FAM236B
ENSG00000276070	CCL4L2	9560	CCL4L2
ENSG00000276070	CCL4L2	388372	CCL4L1
ENSG00000227234	SPANXB1	728695	SPANXB1
ENSG00000227234	SPANXB1	107984060	LOC107984060
ENSG00000160336	ZNF761	388561	ZNF761
ENSG00000160336	ZNF761	110116772	ZNF765-ZNF761
ENSG00000241863	RPP21	202658	TRIM39-RPP21
ENSG00000241863	RPP21	79897	RPP21
ENSG00000239886	KRTAP9-2	83899	KRTAP9-2
ENSG00000239886	KRTAP9-2	83901	KRTAP9-8
ENSG00000207771	MIR550A1	693133	MIR550A1
ENSG00000207771	MIR550A1	100500883	MIR550B1
ENSG00000266016	MIR548Z	693129	MIR548C
ENSG00000266016	MIR548Z	100500856	MIR548Z
ENSG00000124275	MTRR	107986404	LOC107986404
ENSG00000124275	MTRR	4552	MTRR
ENSG00000214447	FAM187A	100528020	FAM187A
ENSG00000214447	FAM187A	388389	CCDC103
ENSG00000277773	SMN2	6606	SMN1
ENSG00000277773	SMN2	6607	SMN2
ENSG00000275009	GOLGA6L1	283767	GOLGA6L1
ENSG00000275009	GOLGA6L1	102723623	LOC102723623
ENSG00000243896	OR2A7	401427	OR2A7
ENSG00000243896	OR2A7	107987545	LOC107987545
ENSG00000013297	CLDN11	101928583	LOC101928583
ENSG00000013297	CLDN11	5010	CLDN11
ENSG00000185716	C16ORF52	730094	C16ORF52
ENSG00000185716	C16ORF52	102725138	LOC102725138
ENSG00000196550	FAM72A	728833	FAM72D
ENSG00000196550	FAM72A	554282	FAM72C
ENSG00000196550	FAM72A	729533	FAM72A
ENSG00000276256	AC011043.1	102724219	LOC102724219
ENSG00000276256	AC011043.1	102724951	LOC102724951
ENSG00000276256	AC011043.1	389831	LOC389831
ENSG00000276256	AC011043.1	102723360	LOC102723360
ENSG00000276256	AC011043.1	102724843	LOC102724843
ENSG00000207704	MIR548AA1	100500863	MIR548AA1
ENSG00000207704	MIR548AA1	693130	MIR548D1
ENSG00000207704	MIR548D1	693130	MIR548D1
ENSG00000207704	MIR548D1	100500863	MIR548AA1
ENSG00000196873	CBWD3	445571	CBWD3
ENSG00000196873	CBWD3	644019	CBWD6
ENSG00000283594	FAM236C	105373251	FAM236D
ENSG00000283594	FAM236C	109729126	FAM236C
ENSG00000112096	SOD2	6648	SOD2
ENSG00000112096	SOD2	100129518	SOD2-OT1
ENSG00000274512	TBC1D3L	101060376	TBC1D3L
ENSG00000274512	TBC1D3L	729873	TBC1D3
ENSG00000233192	HLA-DQA2	3118	HLA-DQA2
ENSG00000233192	HLA-DQA2	3117	HLA-DQA1
ENSG00000206785	SNORA15B-1	109616962	SNORA15B-1
ENSG00000206785	SNORA15B-2	109616962	SNORA15B-1
ENSG00000206785	SNORA15B-1	109617022	SNORA15B-2
ENSG00000206785	SNORA15B-2	109617022	SNORA15B-2
ENSG00000225396	FAM236D	105373251	FAM236D
ENSG00000225396	FAM236D	109729126	FAM236C
ENSG00000244207	C4A	110384692	LOC110384692
ENSG00000244207	C4A	720	C4A
ENSG00000274808	TBC1D3B	414060	TBC1D3C
ENSG00000274808	TBC1D3B	414059	TBC1D3B
ENSG00000050327	ARHGEF5	102725117	LOC102725117
ENSG00000050327	ARHGEF5	7984	ARHGEF5
ENSG00000172199	OR8U1	504190	OR8U9
ENSG00000172199	OR8U1	219417	OR8U1
ENSG00000225560	FAM197Y8	100289188	FAM197Y4
ENSG00000225560	FAM197Y8	105379269	FAM197Y7
ENSG00000225560	FAM197Y8	105379268	FAM197Y8
ENSG00000276191	CRHR1	104909134	LINC02210-CRHR1
ENSG00000276191	CRHR1	1394	CRHR1
ENSG00000275215	RNA5-8S5	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN4	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN3	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8SN4	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8SN1	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8SN2	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN5	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8SN4	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN1	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN5	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN1	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8S4	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN5	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8S4	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8S4	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8SN4	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8S4	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8SN1	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8SN3	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN5	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8S5	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN4	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8S4	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8SN3	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8SN3	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN2	100008587	RNA5-8SN5
ENSG00000275215	RNA5-8SN1	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8SN5	109864281	RNA5-8SN2
ENSG00000275215	RNA5-8S5	109864274	RNA5-8SN4
ENSG00000275215	RNA5-8SN2	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8SN2	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8S5	106632260	RNA5-8SN1
ENSG00000275215	RNA5-8S5	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8SN3	109910381	RNA5-8SN3
ENSG00000275215	RNA5-8SN2	109864274	RNA5-8SN4
ENSG00000274792	AC171558.1	102723532	LOC102723532
ENSG00000274792	AC171558.1	105369274	LOC105369274
ENSG00000120088	CRHR1	104909134	LINC02210-CRHR1
ENSG00000120088	CRHR1	1394	CRHR1
ENSG00000186854	TRABD2A	129293	TRABD2A
ENSG00000186854	TRABD2A	105374836	LOC105374836
ENSG00000186448	ZNF197	110354863	ZNF660-ZNF197
ENSG00000186448	ZNF197	10168	ZNF197
ENSG00000172116	CD8B	926	CD8B
ENSG00000172116	CD8B	927	CD8B2
ENSG00000186146	DEFB131A	105369240	LOC105369240
ENSG00000186146	DEFB131A	644414	DEFB131A
ENSG00000264230	ANXA8L1	728113	ANXA8L1
ENSG00000264230	ANXA8L1	643650	LINC00842
ENSG00000205883	DEFB135	613209	DEFB135
ENSG00000205883	DEFB135	107987561	LOC107987561
ENSG00000283469	MIR3130-2	100422993	MIR3130-1
ENSG00000283469	MIR3130-1	100423002	MIR3130-2
ENSG00000283469	MIR3130-1	100422993	MIR3130-1
ENSG00000283469	MIR3130-2	100423002	MIR3130-2
ENSG00000265817	FSBP	25788	RAD54B
ENSG00000265817	FSBP	100861412	FSBP
ENSG00000266354	MIR4776-2	100616472	MIR4776-2
ENSG00000266354	MIR4776-1	100616267	MIR4776-1
ENSG00000266354	MIR4776-1	100616472	MIR4776-2
ENSG00000266354	MIR4776-2	100616267	MIR4776-1
ENSG00000228696	ARL17B	100506084	ARL17B
ENSG00000228696	ARL17B	51326	ARL17A
ENSG00000228696	ARL17B	100996709	LOC100996709
ENSG00000172965	MIR4435-2HG	112597	CYTOR
ENSG00000172965	MIR4435-2HG	541471	MIR4435-2HG
ENSG00000183426	NPIPA1	9284	NPIPA1
ENSG00000183426	NPIPA1	107984071	LOC107984071
ENSG00000214026	MRPL23	6150	MRPL23
ENSG00000214026	MRPL23	107987373	LOC107987373
ENSG00000181135	ZNF707	286075	ZNF707
ENSG00000181135	ZNF707	101928160	LOC101928160
ENSG00000072195	SPEG	10290	SPEG
ENSG00000072195	SPEG	100996693	LOC100996693
ENSG00000225830	ERCC6	2074	ERCC6
ENSG00000225830	ERCC6	267004	PGBD3
ENSG00000177023	DEFB104B	107984148	LOC107984148
ENSG00000177023	DEFB104B	503618	DEFB104B
ENSG00000104064	GABPB1	2553	GABPB1
ENSG00000104064	GABPB1	55056	GABPB1-IT1
ENSG00000140743	CDR2	101060399	LOC101060399
ENSG00000140743	CDR2	1039	CDR2
ENSG00000215483	LINC00598	646982	LINC00598
ENSG00000215483	LINC00598	400123	LINC00548
ENSG00000277610	RNVU1-4	101954268	RNVU1-20
ENSG00000277610	RNVU1-4	101954264	RNVU1-4
ENSG00000185829	ARL17A	51326	ARL17A
ENSG00000185829	ARL17A	100506084	ARL17B
ENSG00000233098	CCDC144NL-AS1	105369205	LOC105369205
ENSG00000233098	CCDC144NL-AS1	440416	CCDC144NL-AS1
ENSG00000233098	CCDC144NL-AS1	339260	LOC339260
ENSG00000178934	LGALS7B	653499	LGALS7B
ENSG00000178934	LGALS7B	3963	LGALS7
ENSG00000115221	ITGB6	3694	ITGB6
ENSG00000115221	ITGB6	100505984	LINC02478
ENSG00000257315	ZBED6	100381270	ZBED6
ENSG00000257315	ZBED6	9877	ZC3H11A
ENSG00000184276	DEFB108B	107987553	LOC107987553
ENSG00000184276	DEFB108B	245911	DEFB108B
ENSG00000063587	ZNF275	10838	ZNF275
ENSG00000063587	ZNF275	105373378	LOC105373378
ENSG00000129965	INS-IGF2	723961	INS-IGF2
ENSG00000129965	INS-IGF2	3481	IGF2
ENSG00000263436	MIR3158-1	100423033	MIR3158-2
ENSG00000263436	MIR3158-2	100422900	MIR3158-1
ENSG00000263436	MIR3158-2	100423033	MIR3158-2
ENSG00000263436	MIR3158-1	100422900	MIR3158-1
ENSG00000179314	WSCD1	23302	WSCD1
ENSG00000179314	WSCD1	339166	LOC339166
ENSG00000076928	ARHGEF1	100505585	LOC100505585
ENSG00000076928	ARHGEF1	9138	ARHGEF1
ENSG00000198908	BHLHB9	80823	BHLHB9
ENSG00000198908	BHLHB9	100528062	ARMCX5-GPRASP2
ENSG00000213077	FAM106A	80039	FAM106A
ENSG00000213077	FAM106A	100996259	FAM106B
ENSG00000213077	FAM106A	100129396	FAM106CP
ENSG00000175267	VWA3A	146177	VWA3A
ENSG00000175267	VWA3A	101930115	LOC101930115
ENSG00000267368	UPK3BL1	107983993	UPK3BL2
ENSG00000267368	UPK3BL1	100134938	UPK3BL1
ENSG00000120709	FAM53C	100128966	LOC100128966
ENSG00000120709	FAM53C	51307	FAM53C
ENSG00000011454	RABGAP1	2844	GPR21
ENSG00000011454	RABGAP1	23637	RABGAP1
ENSG00000207688	MIR548AA2	693131	MIR548D2
ENSG00000207688	MIR548D2	693131	MIR548D2
ENSG00000207688	MIR548AA2	100500895	MIR548AA2
ENSG00000207688	MIR548D2	100500895	MIR548AA2
ENSG00000173598	NUDT4	440672	NUDT4B
ENSG00000173598	NUDT4	11163	NUDT4
ENSG00000275520	FAM236A	100129407	FAM236A
ENSG00000275520	FAM236A	100132304	FAM236B
ENSG00000215126	CBWD6	150472	CBWD2
ENSG00000215126	CBWD6	644019	CBWD6
ENSG00000276725	CEP170	645455	CEP170P1
ENSG00000276725	CEP170	9859	CEP170
ENSG00000137843	PAK6	56924	PAK6
ENSG00000137843	PAK6	106821730	BUB1B-PAK6
ENSG00000108379	WNT3	101929777	LOC101929777
ENSG00000108379	WNT3	7473	WNT3
ENSG00000278178	AC171558.5	105369274	LOC105369274
ENSG00000278178	AC171558.5	102723532	LOC102723532
ENSG00000244355	LY6G6D	110599563	LY6G6F-LY6G6D
ENSG00000244355	LY6G6D	58530	LY6G6D
ENSG00000236107	AC010127.1	102724058	LOC102724058
ENSG00000236107	AC010127.1	101929680	LOC101929680
ENSG00000173674	EIF1AX	107984923	LOC107984923
ENSG00000173674	EIF1AX	1964	EIF1AX
ENSG00000224533	TMLHE-AS1	101927830	LOC101927830
ENSG00000224533	TMLHE-AS1	100507404	TMLHE-AS1
ENSG00000130600	H19	102724852	LOC102724852
ENSG00000130600	H19	283120	H19
ENSG00000158301	GPRASP2	100528062	ARMCX5-GPRASP2
ENSG00000158301	GPRASP2	114928	GPRASP2
ENSG00000262612	TAS2R43	259289	TAS2R43
ENSG00000262612	TAS2R43	259291	TAS2R45
ENSG00000143702	CEP170	645455	CEP170P1
ENSG00000143702	CEP170	9859	CEP170
ENSG00000224107	ETDB	101928677	ETDA
ENSG00000224107	ETDB	100129515	ETDB
ENSG00000196605	ZNF846	162993	ZNF846
ENSG00000196605	ZNF846	100505555	LOC100505555
ENSG00000143226	FCGR2A	9103	FCGR2C
ENSG00000143226	FCGR2A	2212	FCGR2A
ENSG00000172366	MCRIP2	84331	MCRIP2
ENSG00000172366	MCRIP2	100287175	LOC100287175
ENSG00000133475	GGT2	728441	GGT2
ENSG00000133475	GGT2	102724197	LOC102724197
ENSG00000230417	LINC00595	100132987	LINC00856
ENSG00000230417	LINC00856	100132987	LINC00856
ENSG00000177243	DEFB103B	55894	DEFB103B
ENSG00000177243	DEFB103B	414325	DEFB103A
ENSG00000225516	FAM197Y5	105379269	FAM197Y7
ENSG00000225516	FAM197Y5	100289150	FAM197Y5
ENSG00000225516	FAM197Y5	105379268	FAM197Y8
ENSG00000225516	FAM197Y5	100289188	FAM197Y4
ENSG00000183336	BOLA2	552900	BOLA2
ENSG00000183336	BOLA2	107984053	LOC107984053
ENSG00000276299	PRAMEF25	645359	PRAMEF26
ENSG00000276299	PRAMEF25	441873	PRAMEF25
ENSG00000206331	PRRT1	100507547	LOC100507547
ENSG00000206331	PRRT1	80863	PRRT1
ENSG00000158164	TMSB15A	11013	TMSB15A
ENSG00000158164	TMSB15A	286527	TMSB15B
ENSG00000234443	LY6G6D	110599563	LY6G6F-LY6G6D
ENSG00000234443	LY6G6D	58530	LY6G6D
ENSG00000147996	CBWD5	445571	CBWD3
ENSG00000147996	CBWD5	644019	CBWD6
ENSG00000147996	CBWD5	220869	CBWD5
ENSG00000126861	OMG	101927057	LOC101927057
ENSG00000126861	OMG	4974	OMG
ENSG00000234899	SOX9-AS1	400618	SOX9-AS1
ENSG00000234899	SOX9-AS1	102723517	LOC102723517
ENSG00000283154	IQCJ-SCHIP1	100505385	IQCJ-SCHIP1
ENSG00000283154	IQCJ-SCHIP1	29970	SCHIP1
ENSG00000238158	AL391422.2	26240	FAM50B
ENSG00000238158	AL391422.2	107987516	LOC107987516
ENSG00000058600	POLR3E	101060521	LOC101060521
ENSG00000058600	POLR3E	55718	POLR3E
ENSG00000244731	C4A	110384692	LOC110384692
ENSG00000244731	C4A	720	C4A
ENSG00000145194	ECE2	110599583	EEF1AKMT4-ECE2
ENSG00000145194	ECE2	9718	ECE2
ENSG00000145194	ECE2	110599564	EEF1AKMT4
ENSG00000235956	PRRT1	100507547	LOC100507547
ENSG00000235956	PRRT1	80863	PRRT1
ENSG00000275628	AL590491.1	107987066	LOC107987066
ENSG00000275628	AL590491.1	107987580	LOC107987580
ENSG00000196459	TRAPPC2	6399	TRAPPC2
ENSG00000196459	TRAPPC2	10597	TRAPPC2B
ENSG00000275313	CCL4L2	9560	CCL4L2
ENSG00000275313	CCL4L2	388372	CCL4L1
ENSG00000166160	OPN1MW2	728458	OPN1MW2
ENSG00000166160	OPN1MW2	107984055	LOC107984055
ENSG00000104731	KLHDC4	105371397	LOC105371397
ENSG00000104731	KLHDC4	54758	KLHDC4
ENSG00000257473	HLA-DQA2	3118	HLA-DQA2
ENSG00000257473	HLA-DQA2	3117	HLA-DQA1
ENSG00000277853	PRAMEF18	653606	PRAMEF22
ENSG00000277853	PRAMEF18	391003	PRAMEF18
ENSG00000227110	LMCD1-AS1	101927394	LOC101927394
ENSG00000227110	LMCD1-AS1	100288428	LMCD1-AS1
ENSG00000213160	KLHL23	100526832	PHOSPHO2-KLHL23
ENSG00000213160	KLHL23	151230	KLHL23
ENSG00000183706	OR4N4	105369274	LOC105369274
ENSG00000183706	OR4N4	283694	OR4N4
ENSG00000023171	GRAMD1B	57476	GRAMD1B
ENSG00000023171	GRAMD1B	100128242	LOC100128242
ENSG00000274559	H2BFS	102724334	LOC102724334
ENSG00000274559	H2BFS	54145	H2BFS
ENSG00000282537	TAS2R43	259289	TAS2R43
ENSG00000282537	TAS2R43	259291	TAS2R45
ENSG00000239865	RPP21	202658	TRIM39-RPP21
ENSG00000239865	RPP21	79897	RPP21
ENSG00000228383	FAM197Y7	100289188	FAM197Y4
ENSG00000228383	FAM197Y7	105379268	FAM197Y8
ENSG00000228383	FAM197Y7	105379269	FAM197Y7
ENSG00000271383	NBPF19	100996717	LOC100996717
ENSG00000271383	NBPF19	101060226	NBPF19
ENSG00000282799	KANSL1-AS1	107984142	LOC107984142
ENSG00000282799	KANSL1-AS1	644246	KANSL1-AS1
ENSG00000230124	ACBD6	100527964	LHX4-AS1
ENSG00000230124	ACBD6	84320	ACBD6
ENSG00000213904	LIPE-AS1	101930071	LOC101930071
ENSG00000213904	LIPE-AS1	100996307	LIPE-AS1
ENSG00000153976	HS3ST3A1	9953	HS3ST3B1
ENSG00000153976	HS3ST3A1	9955	HS3ST3A1
ENSG00000278839	SERF1B	8293	SERF1A
ENSG00000278839	SERF1B	728492	SERF1B
