Gene stable ID	HGNC symbol	Gene name	NCBI gene ID
ENSG00000276622	MIR6499	MIR6499	102465246
ENSG00000265345	MIR5188	MIR5188	100847004
ENSG00000265357	MIR4493	MIR4493	100616319
ENSG00000272036	MIR139	MIR139	406931
ENSG00000207133	SNORD116-7	SNORD116-7	100033419
ENSG00000266666	MIR4325	MIR4325	100422883
ENSG00000264559	MIR3162	MIR3162	100422880
ENSG00000199575	SNORD114-1	SNORD114-1	767577
ENSG00000199065	MIR101-2	MIR101-2	406894
ENSG00000265331	MIR4524B	MIR4524B	100847008
ENSG00000277202	MIR8063	MIR8063	102466875
ENSG00000264500	MIR3124	MIR3124	100422879
ENSG00000225091	SNORA71A	SNORA71A	26777
ENSG00000265932	MIR3146	MIR3146	100422967
ENSG00000207607	MIR200A	MIR200A	406983
ENSG00000266415	MIR4636	MIR4636	100616326
ENSG00000278278	MIR6816	MIR6816	102465490
ENSG00000266436	MIR4264	MIR4264	100422888
ENSG00000264049	MIR4737	MIR4737	100616210
ENSG00000207811	MIR34B	MIR34B	407041
ENSG00000207759	MIR181A1	MIR181A1	406995
ENSG00000264419	MIR548AC	MIR548AC	100616384
ENSG00000273875	TARM1	TARM1	441864
ENSG00000278264	MIR6803	MIR6803	102466739
ENSG00000277887	SNORA50C	SNORA50C	677842
ENSG00000276220		AC012314.11	4696
ENSG00000284542	MIR3614	MIR3614	100500827
ENSG00000281557		AL357055.4	100996251
ENSG00000283416	MIR1910	MIR1910	100302261
ENSG00000265855	MIR4514	MIR4514	100616181
ENSG00000207961	MIR496	MIR496	574454
ENSG00000266611	MIR4703	MIR4703	100616423
ENSG00000266188	MIR5095	MIR5095	100616458
ENSG00000200726	SNORD115-8	SNORD115-8	100033445
ENSG00000278073	MIR6726	MIR6726	102465434
ENSG00000265214	MIR4283-2	MIR4283-2	100422848
ENSG00000266245	MIR4644	MIR4644	100616430
ENSG00000277872	MIR6817	MIR6817	102466198
ENSG00000283498	MIR1244-2	MIR1244-2	100422885
ENSG00000274713	MIR7974	MIR7974	102465856
ENSG00000275391	MIR6770-3	MIR6770-3	102466259
ENSG00000276941	MIR4509-1	MIR4509-1	100616223
ENSG00000266704	MIR4498	MIR4498	100616179
ENSG00000265355	MIR3136	MIR3136	100422859
ENSG00000273648	MIR8065	MIR8065	102465867
ENSG00000284160	MIR7706	MIR7706	102465803
ENSG00000212040	MIR543	MIR543	100126335
ENSG00000216192	MIR920	MIR920	100126320
ENSG00000278359	MIR7155	MIR7155	102466815
ENSG00000207874	MIR610	MIR610	693195
ENSG00000281894	ZKSCAN7	ZKSCAN7	55888
ENSG00000283204	MIR4434	MIR4434	100616419
ENSG00000263752	MIR3133	MIR3133	100422942
ENSG00000266180	MIR4282	MIR4282	100423005
ENSG00000281226		AL590644.2	400743
ENSG00000264834	MIR1273F	MIR1273F	100616156
ENSG00000239057	MIR500B	MIR500B	100422911
ENSG00000201263	SNORD114-6	SNORD114-6	767582
ENSG00000207268	SNORA70C	SNORA70C	100124538
ENSG00000238923	RNU7-1	RNU7-1	100147744
ENSG00000201388	SNORA68B	SNORA68B	109616972
ENSG00000207976	MIR607	MIR607	693192
ENSG00000284587	MIR943	MIR943	100126332
ENSG00000283634	MIR3155B	MIR3155B	100628560
ENSG00000264984	MIR5691	MIR5691	100847015
ENSG00000199038	MIR210	MIR210	406992
ENSG00000207728	MIR449B	MIR449B	693123
ENSG00000264141	MIR3928	MIR3928	100500901
ENSG00000206622	SNORA69	SNORA69	26779
ENSG00000211578	MIR766	MIR766	768218
ENSG00000207782	MIR150	MIR150	406942
ENSG00000207736	MIR657	MIR657	724027
ENSG00000277478	MIR6165	MIR6165	102465141
ENSG00000239002	SCARNA10	SCARNA10	692148
ENSG00000265176	MIR3202-1	MIR3202-1	100422987
ENSG00000208032	MIR548A3	MIR548A3	693127
ENSG00000265226	MIR548AI	MIR548AI	100616347
ENSG00000198982	MIR380	MIR380	494329
ENSG00000277892	MIR6746	MIR6746	102465446
ENSG00000208036	MIR106B	MIR106B	406900
ENSG00000264056	MIR5685	MIR5685	100847075
ENSG00000206621	SNORD116-14	SNORD116-14	100033426
ENSG00000264425	MIR4653	MIR4653	100616117
ENSG00000265422	MIR4684	MIR4684	100616391
ENSG00000264014	MIR4253	MIR4253	100422914
ENSG00000207199		SNORD38	109616979
ENSG00000278108	MIR6757	MIR6757	102466193
ENSG00000273912	MIR8068	MIR8068	102466876
ENSG00000276982	OSCAR	OSCAR	126014
ENSG00000268991	FAM231B	FAM231B	100133301
ENSG00000264102	MIR4688	MIR4688	100616368
ENSG00000221406	MIR320B2	MIR320B2	100313769
ENSG00000276162	MIR5739	MIR5739	102466081
ENSG00000283385	MIR4524A	MIR4524A	100616316
ENSG00000263918	MIR3670-1	MIR3670-1	100500910
ENSG00000277052	MIR6763	MIR6763	102465975
ENSG00000221333	MIR548K	MIR548K	100313770
ENSG00000221066	SNORD111	SNORD111	692214
ENSG00000206903	SNORA24B	SNORA24B	109617003
ENSG00000264741	MIR4505	MIR4505	100616158
ENSG00000221369	MIR548G	MIR548G	100313938
ENSG00000012983	MAP4K5	MAP4K5	11183
ENSG00000151748	SAV1	SAV1	60485
ENSG00000126456	IRF3	IRF3	3661
ENSG00000149292	TTC12	TTC12	54970
ENSG00000112941	PAPD7	PAPD7	11044
ENSG00000262099		AC004148.1	105371506
ENSG00000262814	MRPL12	MRPL12	6182
ENSG00000058673	ZC3H11A	ZC3H11A	9877
ENSG00000176605	C14orf177	C14orf177	283598
ENSG00000259110	LINC02304	LINC02304	105370648
ENSG00000137726	FXYD6	FXYD6	53826
ENSG00000105357	MYH14	MYH14	79784
ENSG00000133055	MYBPH	MYBPH	4608
ENSG00000188766	SPRED3	SPRED3	399473
ENSG00000165684	SNAPC4	SNAPC4	6621
ENSG00000183475	ASB7	ASB7	140460
ENSG00000108559	NUP88	NUP88	4927
ENSG00000153823	PID1	PID1	55022
ENSG00000175602	CCDC85B	CCDC85B	11007
ENSG00000174059	CD34	CD34	947
ENSG00000186318	BACE1	BACE1	23621
ENSG00000211459	MT-RNR1	MT-RNR1	4549
ENSG00000210082	MT-RNR2	MT-RNR2	4550
ENSG00000198888	MT-ND1	MT-ND1	4535
ENSG00000198763	MT-ND2	MT-ND2	4536
ENSG00000198804	MT-CO1	MT-CO1	4512
ENSG00000198712	MT-CO2	MT-CO2	4513
ENSG00000163431	LMOD1	LMOD1	25802
ENSG00000170549	IRX1	IRX1	79192
ENSG00000228253	MT-ATP8	MT-ATP8	4509
ENSG00000241978	AKAP2	AKAP2	11217
ENSG00000198899	MT-ATP6	MT-ATP6	4508
ENSG00000235754	APOM	APOM	55937
ENSG00000198938	MT-CO3	MT-CO3	4514
ENSG00000129667	RHBDF2	RHBDF2	79651
ENSG00000198840	MT-ND3	MT-ND3	4537
ENSG00000212907	MT-ND4L	MT-ND4L	4539
ENSG00000156575	PRG3	PRG3	10394
ENSG00000117834	SLC5A9	SLC5A9	200010
ENSG00000198886	MT-ND4	MT-ND4	4538
ENSG00000170482	SLC23A1	SLC23A1	9963
ENSG00000198786	MT-ND5	MT-ND5	4540
ENSG00000198695	MT-ND6	MT-ND6	4541
ENSG00000099290	WASHC2A	WASHC2A	387680
ENSG00000258630	LINC02292	LINC02292	101929080
ENSG00000198727	MT-CYB	MT-CYB	4519
ENSG00000143119	CD53	CD53	963
ENSG00000116962	NID1	NID1	4811
ENSG00000106780	MEGF9	MEGF9	1955
ENSG00000215397	SCRT2	SCRT2	85508
ENSG00000204149	AGAP6	AGAP6	414189
ENSG00000160185	UBASH3A	UBASH3A	53347
ENSG00000162076	FLYWCH2	FLYWCH2	114984
ENSG00000229833	PET100	PET100	100131801
ENSG00000205209	SCGB2B2	SCGB2B2	284402
ENSG00000129951	PLPPR3	PLPPR3	79948
ENSG00000197889	MEIG1	MEIG1	644890
ENSG00000179044	EXOC3L1	EXOC3L1	283849
ENSG00000187510	PLEKHG7	PLEKHG7	440107
ENSG00000225497	KCNMA1-AS2	KCNMA1-AS2	101929310
ENSG00000117335	CD46	CD46	4179
ENSG00000113318	MSH3	MSH3	4437
ENSG00000116353	MECR	MECR	51102
ENSG00000140459	CYP11A1	CYP11A1	1583
ENSG00000183644	C11orf88	C11orf88	399949
ENSG00000137707	BTG4	BTG4	54766
ENSG00000196814	MVB12B	MVB12B	89853
ENSG00000257127	CLLU1	CLLU1	574028
ENSG00000158258	CLSTN2	CLSTN2	64084
ENSG00000124191	TOX2	TOX2	84969
ENSG00000144744	UBA3	UBA3	9039
ENSG00000198846	TOX	TOX	9760
ENSG00000053254	FOXN3	FOXN3	1112
ENSG00000259073	FOXN3-AS2	FOXN3-AS2	29018
ENSG00000123643	SLC36A1	SLC36A1	206358
ENSG00000021852	C8B	C8B	732
ENSG00000226777	FAM30A	FAM30A	9834
ENSG00000187486	KCNJ11	KCNJ11	3767
ENSG00000155087	ODF1	ODF1	4956
ENSG00000203288	TDRKH-AS1	TDRKH-AS1	109729141
ENSG00000100284	TOM1	TOM1	10043
ENSG00000268916	CSAG3	CSAG3	389903
ENSG00000214827	MTCP1	MTCP1	4515
ENSG00000160803	UBQLN4	UBQLN4	56893
ENSG00000186020	ZNF529	ZNF529	57711
ENSG00000075914	EXOSC7	EXOSC7	23016
ENSG00000258659	TRIM34	TRIM34	53840
ENSG00000167083	GNGT2	GNGT2	2793
ENSG00000162885	B3GALNT2	B3GALNT2	148789
ENSG00000261432	LINC01613	LINC01613	106146149
ENSG00000146001	PCDHB18P	PCDHB18P	54660
ENSG00000250719		AL672043.1	110117498
ENSG00000214514	KRT42P	KRT42P	284116
ENSG00000160284	SPATC1L	SPATC1L	84221
ENSG00000117461	PIK3R3	PIK3R3	8503
ENSG00000104967	NOVA2	NOVA2	4858
ENSG00000223609	HBD	HBD	3045
ENSG00000099617	EFNA2	EFNA2	1943
ENSG00000235220	HLA-F	HLA-F	3134
ENSG00000198496	NBR2	NBR2	10230
ENSG00000274473	SCT	SCT	6343
ENSG00000175329	ISX	ISX	91464
ENSG00000236237	LTB	LTB	4050
ENSG00000165868	HSPA12A	HSPA12A	259217
ENSG00000276896	GOLGA8F	GOLGA8F	283768
ENSG00000276896	GOLGA8F	GOLGA8F	100132565
ENSG00000152422	XRCC4	XRCC4	7518
ENSG00000259803	SLC22A31	SLC22A31	146429
ENSG00000160325	CACFD1	CACFD1	11094
ENSG00000256699	TMEM132D-AS2	TMEM132D-AS2	101927735
ENSG00000258673	LINC01397	LINC01397	104355139
ENSG00000215883	CYB5RL	CYB5RL	606495
ENSG00000135083	CCNJL	CCNJL	79616
ENSG00000240871	KRTAP4-7	KRTAP4-7	100132476
ENSG00000140691	ARMC5	ARMC5	79798
ENSG00000250821	EXOC1L	EXOC1L	644145
ENSG00000171014	OR4D5	OR4D5	219875
ENSG00000141298	SSH2	SSH2	85464
ENSG00000229388	LINC01715	LINC01715	105378616
ENSG00000263063		AC024361.2	101929552
ENSG00000264985		AC124804.1	101928251
ENSG00000143001	TMEM61	TMEM61	199964
ENSG00000255408	PCDHA3	PCDHA3	56145
ENSG00000160323	ADAMTS13	ADAMTS13	11093
ENSG00000198554	WDHD1	WDHD1	11169
ENSG00000204444	APOM	APOM	55937
ENSG00000254986	DPP3	DPP3	10072
ENSG00000189144	ZNF573	ZNF573	126231
ENSG00000137818	RPLP1	RPLP1	6176
ENSG00000160447	PKN3	PKN3	29941
ENSG00000158234	FAIM	FAIM	55179
ENSG00000185666	SYN3	SYN3	8224
ENSG00000087074	PPP1R15A	PPP1R15A	23645
ENSG00000100234	TIMP3	TIMP3	7078
ENSG00000189190	ZNF600	ZNF600	162966
ENSG00000237693	IRGM	IRGM	345611
ENSG00000099821	POLRMT	POLRMT	5442
ENSG00000118496	FBXO30	FBXO30	84085
ENSG00000185651	UBE2L3	UBE2L3	7332
ENSG00000183246	RIMBP3C	RIMBP3C	150221
ENSG00000088367	EPB41L1	EPB41L1	2036
ENSG00000090581	GNPTG	GNPTG	84572
ENSG00000206480	FLOT1	FLOT1	10211
ENSG00000070669	ASNS	ASNS	440
ENSG00000184677	ZBTB40	ZBTB40	9923
ENSG00000278634	LILRA2	LILRA2	11027
ENSG00000242019	KIR3DL3	KIR3DL3	115653
ENSG00000099822	HCN2	HCN2	610
ENSG00000111199	TRPV4	TRPV4	59341
ENSG00000196653	ZNF502	ZNF502	91392
ENSG00000260790		AC092338.2	440346
ENSG00000105550	FGF21	FGF21	26291
ENSG00000174951	FUT1	FUT1	2523
ENSG00000070778	PTPN21	PTPN21	11099
ENSG00000081019	RSBN1	RSBN1	54665
ENSG00000137700	SLC37A4	SLC37A4	2542
ENSG00000278220	CLN8	CLN8	2055
ENSG00000138326	RPS24	RPS24	6229
ENSG00000074603	DPP8	DPP8	54878
ENSG00000273622	CDC42EP5	CDC42EP5	148170
ENSG00000164430	CGAS	CGAS	115004
ENSG00000212916	MAP10	MAP10	54627
ENSG00000073584	SMARCE1	SMARCE1	6605
ENSG00000232850		PTGES2-AS1	389791
ENSG00000221910	OR2F2	OR2F2	135948
ENSG00000132275	RRP8	RRP8	23378
ENSG00000128581	IFT22	IFT22	64792
ENSG00000185433	LINC00158	LINC00158	54072
ENSG00000054983	GALC	GALC	2581
ENSG00000167106	FAM102A	FAM102A	399665
ENSG00000238114	LTB	LTB	4050
ENSG00000148296	SURF6	SURF6	6838
ENSG00000226717	PTPRD-AS2	PTPRD-AS2	101929428
ENSG00000185963	BICD2	BICD2	23299
ENSG00000133275	CSNK1G2	CSNK1G2	1455
ENSG00000218510	LINC00339	LINC00339	29092
ENSG00000107807	TLX1	TLX1	3195
ENSG00000204414	CSHL1	CSHL1	1444
ENSG00000108352	RAPGEFL1	RAPGEFL1	51195
ENSG00000134202	GSTM3	GSTM3	2947
ENSG00000276327	KIR2DS1	KIR2DS1	3806
ENSG00000275937		GU182339.3	553128
ENSG00000137168	PPIL1	PPIL1	51645
ENSG00000278306	KIR2DS3	KIR2DS3	3808
ENSG00000206287	RING1	RING1	6015
ENSG00000143164	DCAF6	DCAF6	55827
ENSG00000237405	AGER	AGER	177
ENSG00000139899	CBLN3	CBLN3	643866
ENSG00000276450	NCR1	NCR1	9437
ENSG00000116793	PHTF1	PHTF1	10745
ENSG00000105501	SIGLEC5	SIGLEC5	8778
ENSG00000108602	ALDH3A1	ALDH3A1	218
ENSG00000276293	PIP4K2B	PIP4K2B	8396
ENSG00000282477		AC100803.4	101930072
ENSG00000196735	HLA-DQA1	HLA-DQA1	3117
ENSG00000251497	PITPNM2-AS1	PITPNM2-AS1	100507091
ENSG00000167716	WDR81	WDR81	124997
ENSG00000153885	KCTD15	KCTD15	79047
ENSG00000229524	BAG6	BAG6	7917
ENSG00000277238	TAS2R10	TAS2R10	50839
ENSG00000165775	FUNDC2	FUNDC2	65991
ENSG00000064225	ST3GAL6	ST3GAL6	10402
ENSG00000099804	CDC34	CDC34	997
ENSG00000064270	ATP2C2	ATP2C2	9914
ENSG00000067842	ATP2B3	ATP2B3	492
ENSG00000270276	HIST2H4B	HIST2H4B	554313
ENSG00000117016	RIMS3	RIMS3	9783
ENSG00000146063	TRIM41	TRIM41	90933
ENSG00000137502	RAB30	RAB30	27314
ENSG00000104635	SLC39A14	SLC39A14	23516
ENSG00000144792	ZNF660	ZNF660	285349
ENSG00000109610	SOD3	SOD3	6649
ENSG00000254081	LINC01299	LINC01299	286186
ENSG00000137819	PAQR5	PAQR5	54852
ENSG00000079950	STX7	STX7	8417
ENSG00000143320	CRABP2	CRABP2	1382
ENSG00000280094	OR1B1	OR1B1	347169
ENSG00000140939	NOL3	NOL3	8996
ENSG00000139537	CCDC65	CCDC65	85478
ENSG00000226347	OR2J2	OR2J2	26707
ENSG00000134287	ARF3	ARF3	377
ENSG00000145975	FAM217A	FAM217A	222826
ENSG00000176219	OR11H6	OR11H6	122748
ENSG00000224455	VPS52	VPS52	6293
ENSG00000006125	AP2B1	AP2B1	163
ENSG00000226225	RPS18	RPS18	6222
ENSG00000111077	TNS2	TNS2	23371
ENSG00000169410	PTPN9	PTPN9	5780
ENSG00000181698	OR5T1	OR5T1	390155
ENSG00000143977	SNRPG	SNRPG	6637
ENSG00000107643	MAPK8	MAPK8	5599
ENSG00000182022	CHST15	CHST15	51363
ENSG00000124490	CRISP2	CRISP2	7180
ENSG00000215547	DEFB115	DEFB115	245929
ENSG00000254508	FBXO3-AS1	FBXO3-AS1	101928440
ENSG00000110921	MVK	MVK	4598
ENSG00000233620		AC093581.1	102723833
ENSG00000139737	SLAIN1	SLAIN1	122060
ENSG00000280071		FP565260.6	102724023
ENSG00000237515	SHISA9	SHISA9	729993
ENSG00000155961	RAB39B	RAB39B	116442
ENSG00000118292	C1orf54	C1orf54	79630
ENSG00000181718	OR5T2	OR5T2	219464
ENSG00000269096	CT45A3	CT45A3	441519
ENSG00000269096	CT45A3	CT45A3	541466
ENSG00000231319	OR2B3	OR2B3	442184
ENSG00000155962	CLIC2	CLIC2	1193
ENSG00000152931	PART1	PART1	25859
ENSG00000161914	ZNF653	ZNF653	115950
ENSG00000283926	MIR192	MIR192	406967
ENSG00000207940	MIR567	MIR567	693152
ENSG00000221502	MIR1245A	MIR1245A	100302219
ENSG00000215952	MIR921	MIR921	100126349
ENSG00000278549	MIR6736	MIR6736	102466191
ENSG00000221698	MIR548H3	MIR548H3	100302287
ENSG00000209480	SNORD83B	SNORD83B	116938
ENSG00000212135	SNORD67	SNORD67	692108
ENSG00000207187	SNORA10B	SNORA10B	109616960
ENSG00000275979	CNOT3	CNOT3	4849
ENSG00000239127	SNORD125	SNORD125	100113380
ENSG00000201772	SNORA5C	SNORA5C	677796
ENSG00000265733	SNORA74C-1	SNORA74C-1	109616974
ENSG00000283694	MIR3202-2	MIR3202-2	100422877
ENSG00000271886	MIR98	MIR98	407054
ENSG00000199960	SNORD115-14	SNORD115-14	100033451
ENSG00000207804	MIR599	MIR599	693184
ENSG00000284266	MIR4534	MIR4534	100616146
ENSG00000284256	MIR5004	MIR5004	100847012
ENSG00000284325	MIR3655	MIR3655	100500820
ENSG00000264999	MIR5089	MIR5089	100847067
ENSG00000284082	MIR7109	MIR7109	102465666
ENSG00000283301	MIR4520-2	MIR4520-2	100616466
ENSG00000264796	MIR5009	MIR5009	100846993
ENSG00000265003	MIR4780	MIR4780	100616447
ENSG00000207579	MIR662	MIR662	724032
ENSG00000283881	MIR3916	MIR3916	100500849
ENSG00000283789	MIR7846	MIR7846	102465836
ENSG00000274078	TSEN34	TSEN34	79042
ENSG00000283931	MIR18B	MIR18B	574033
ENSG00000266017	MIR4477B	MIR4477B	100616194
ENSG00000263533	MIR4463	MIR4463	100616389
ENSG00000284469	MIR6721	MIR6721	102466190
ENSG00000265846	MIR4276	MIR4276	100423042
ENSG00000266518	MIR4268	MIR4268	100422959
ENSG00000239183	SNORA84	SNORA84	100124534
ENSG00000263872	MIR4528	MIR4528	100616232
ENSG00000284541	MIR4517	MIR4517	100616487
ENSG00000263735	MIR4662B	MIR4662B	100616255
ENSG00000207639	MIR193B	MIR193B	574455
ENSG00000201998	SNORA23	SNORA23	677808
ENSG00000212017	MIR548U	MIR548U	100422884
ENSG00000265064	MIR4692	MIR4692	100616410
ENSG00000264633	MIR4271	MIR4271	100422952
ENSG00000207979	MIR527	MIR527	574497
ENSG00000266564	MIR4418	MIR4418	100616433
ENSG00000283540	MIR520F	MIR520F	574464
ENSG00000200823	SNORD114-2	SNORD114-2	767578
ENSG00000265879	MIR4748	MIR4748	100616425
ENSG00000263849	MIR4744	MIR4744	100616420
ENSG00000284586	MIR92B	MIR92B	693235
ENSG00000284596	MIR4467	MIR4467	100616367
ENSG00000265596	MIR3659	MIR3659	100500801
ENSG00000221400	SNORD3J	SNORD3J	109616985
ENSG00000277864	SCARNA15	SCARNA15	677778
ENSG00000201943	SNORD115-10	SNORD115-10	100033447
ENSG00000252219	MIR892C	MIR892C	102466721
ENSG00000264136	MIR3689D2	MIR3689D2	100616344
ENSG00000266583	MIR4478	MIR4478	100616312
ENSG00000200656	SNORA5B	SNORA5B	677795
ENSG00000265306	MIR3195	MIR3195	100422838
ENSG00000264119	MIR4795	MIR4795	100616161
ENSG00000284442	MIR2110	MIR2110	100302224
ENSG00000283497	MIR3160-2	MIR3160-2	100422825
ENSG00000276027	RNU12	RNU12	267010
ENSG00000266063	MIR4771-2	MIR4771-2	100616165
ENSG00000278159	MIR8062	MIR8062	102465865
ENSG00000275726	MIR6088	MIR6088	102464836
ENSG00000278598	MIR6775	MIR6775	102465464
ENSG00000284038	MIR10A	MIR10A	406902
ENSG00000266758	MIR3680-2	MIR3680-2	100847041
ENSG00000199396	RNA5S5	RNA5S5	100169756
ENSG00000283170	MIR382	MIR382	494331
ENSG00000263439	MIR4753	MIR4753	100616224
ENSG00000284214	MIR29C	MIR29C	407026
ENSG00000266300	SNORD52	SNORD52	26797
ENSG00000200343	RNA5S8	RNA5S8	100169759
ENSG00000274012	RN7SL2	RN7SL2	378706
ENSG00000273511	OSCAR	OSCAR	126014
ENSG00000238423	SNORD42B	SNORD42B	26808
ENSG00000201925	RNA5S15	RNA5S15	100169766
ENSG00000263864	SNORD48	SNORD48	26801
ENSG00000283188	MIR2052	MIR2052	100302260
ENSG00000263649	MIR3135B	MIR3135B	100616218
ENSG00000284286	MIR718	MIR718	100313781
ENSG00000202354	RNY3	RNY3	6085
ENSG00000208018	MIR645	MIR645	693230
ENSG00000263403	MIR4673	MIR4673	100616242
ENSG00000283734	MIR4785	MIR4785	100616364
ENSG00000269782	MIR1470	MIR1470	100302127
ENSG00000278412	MIR6854	MIR6854	102465514
ENSG00000266530	MIR4318	MIR4318	100422857
ENSG00000266324	MIR4663	MIR4663	100616260
ENSG00000276326	MIR2909	MIR2909	100422969
ENSG00000265375	MIR4679-2	MIR4679-2	100616192
ENSG00000208037	MIR320A	MIR320A	407037
ENSG00000263894	MIR3925	MIR3925	100500885
ENSG00000266478	MIR5197	MIR5197	100846991
ENSG00000207956	MIR579	MIR579	693164
ENSG00000283990	MIRLET7A3	MIRLET7A3	406883
ENSG00000265007	MIR4327	MIR4327	100422891
ENSG00000284125	MIR1825	MIR1825	100302183
ENSG00000283222	MIR4433A	MIR4433A	100616265
ENSG00000283978	MIR365B	MIR365B	100126356
ENSG00000274300	MIR6864	MIR6864	102465521
ENSG00000266643	MIR3677	MIR3677	100500812
ENSG00000198984	MIR345	MIR345	442910
ENSG00000266531	MIR4706	MIR4706	100616490
ENSG00000274824	MIR7152	MIR7152	102465689
ENSG00000264470	MIR4794	MIR4794	100616338
ENSG00000266295	SNORD117	SNORD117	692233
ENSG00000199094	MIR30C2	MIR30C2	407032
ENSG00000276770	MIR6780B	MIR6780B	102466746
ENSG00000264342	MIR3660	MIR3660	100500825
ENSG00000283971	MIR4442	MIR4442	100616477
ENSG00000207627	MIR581	MIR581	693166
ENSG00000271898	MIR4791	MIR4791	100616291
ENSG00000283880	MIR7704	MIR7704	102465802
ENSG00000275107	MIR6782	MIR6782	102465469
ENSG00000284152	MIR6758	MIR6758	102465454
ENSG00000283340	MIR3119-1	MIR3119-2	100422839
ENSG00000283340	MIR3119-1	MIR3119-2	100423010
ENSG00000283340	MIR3119-2	MIR3119-2	100422839
ENSG00000283340	MIR3119-2	MIR3119-2	100423010
ENSG00000266458	MIR4259	MIR4259	100422852
ENSG00000263987	MIR5698	MIR5698	100847024
ENSG00000207991	MIR601	MIR601	693186
ENSG00000221616	MIR548H4	MIR548H4	100313884
ENSG00000266240	MIR5091	MIR5091	100847023
ENSG00000284074	MIR4758	MIR4758	100616340
ENSG00000263750	MIR548AV	MIR548AV	100847083
ENSG00000274838	MIR6788	MIR6788	102466735
ENSG00000199053	MIR324	MIR324	442898
ENSG00000278233	RNA5-8S5	RNA5-8S4	100008587
ENSG00000278233	RNA5-8S5	RNA5-8S4	106632260
ENSG00000278233	RNA5-8S5	RNA5-8S4	109864274
ENSG00000278233	RNA5-8S5	RNA5-8S4	109864281
ENSG00000278233	RNA5-8S5	RNA5-8S4	109910381
ENSG00000278233	RNA5-8S4	RNA5-8S4	100008587
ENSG00000278233	RNA5-8S4	RNA5-8S4	106632260
ENSG00000278233	RNA5-8S4	RNA5-8S4	109864274
ENSG00000278233	RNA5-8S4	RNA5-8S4	109864281
ENSG00000278233	RNA5-8S4	RNA5-8S4	109910381
ENSG00000278233	RNA5-8SN1	RNA5-8S4	100008587
ENSG00000278233	RNA5-8SN1	RNA5-8S4	106632260
ENSG00000278233	RNA5-8SN1	RNA5-8S4	109864274
ENSG00000278233	RNA5-8SN1	RNA5-8S4	109864281
ENSG00000278233	RNA5-8SN1	RNA5-8S4	109910381
ENSG00000278233	RNA5-8SN2	RNA5-8S4	100008587
